k_T,lam_T,k_C,lam_C,p_cen_target,n,div_hazard_mean,div_hazard_ci_low,div_hazard_ci_high,div_hazard_reject,div_IPCW_mean,div_IPCW_ci_low,div_IPCW_ci_high,div_IPCW_reject,sqrtmse_k_hazard,sqrtmse_k_IPCW,sqrtmse_lam_hazard,sqrtmse_lam_IPCW,score_gap_true_mean,score_gap_true_ci_low,score_gap_true_ci_high
2.5,2,2.5,3.4822023,0.2,20000,9.6765558e-05,8.1204332e-05,0.0001124395,0,0.00014160645,0.00011141943,0.00017117093,0,0.021001767,0.022980663,0.0098526354,0.010022293,-0.00056252972,-0.0016381235,0.00048634986
2.5,2,2.5,2.352158,0.4,50,0.054365162,0.045210194,0.06413105,0,0.23336609,0.14891383,0.34721534,0,0.64518122,0.99174471,0.2035836,0.26881666,0.036303122,0.0027036583,0.069017868
2.5,2,2.5,2.352158,0.4,100,0.021776007,0.018308241,0.025402472,0,0.080103106,0.057000648,0.10475813,0,0.40048294,0.58061177,0.15085827,0.19688129,0.027275124,0.0020908034,0.051182419
2.5,2,2.5,2.352158,0.4,200,0.011062215,0.0095594113,0.012551319,0,0.038088768,0.026406542,0.051335621,0,0.25766889,0.3949707,0.10340271,0.13687516,0.039013848,0.012115911,0.067991303
2.5,2,2.5,2.352158,0.4,500,0.0038651926,0.0032672809,0.0044739165,0,0.016852608,0.01111941,0.02307182,0,0.16257578,0.24960606,0.065776046,0.087756203,0.022917893,0.0056073654,0.039976784
2.5,2,2.5,2.352158,0.4,1000,0.0021062704,0.0017886378,0.00243861,0,0.0091853951,0.0059193127,0.013438605,0,0.11000618,0.17369151,0.046827219,0.059622214,0.012085176,-0.0018163882,0.026865109
2.5,2,2.5,2.352158,0.4,5000,0.00047412498,0.0004086101,0.00054095327,0,0.0019984012,0.0014312056,0.0025879829,0,0.051009738,0.086866022,0.021039174,0.028716379,0.0036891469,-0.0028656965,0.010409823
2.5,2,2.5,2.352158,0.4,20000,9.4379735e-05,7.9616801e-05,0.00010962021,0,0.00060575415,0.0003785582,0.00086738599,0,0.025586675,0.046394087,0.010200848,0.013617588,0.00053423645,-0.003061772,0.0041519624
2.5,2,2.5,1.700566,0.6,50,0.054316079,0.045126107,0.063435584,0,0.64063634,0.30184581,1.1240105,0,0.88732206,1.8046399,0.36211916,0.41660553,0.20260731,0.10357657,0.32358049
2.5,2,2.5,1.700566,0.6,100,0.020162652,0.016814756,0.023730455,0,0.12386553,0.079496245,0.17441951,0,0.4824633,1.0306133,0.20188317,0.32702459,0.11846798,0.06076301,0.18644519
2.5,2,2.5,1.700566,0.6,200,0.010946045,0.0092264527,0.012782951,0,0.081433344,0.042290565,0.12792347,0,0.35728785,0.75272651,0.14966752,0.26464815,0.090972365,0.044307476,0.14438095
2.5,2,2.5,1.700566,0.6,500,0.0042902276,0.0037180875,0.0048812503,0,0.038183687,0.020131967,0.057467423,0,0.20755342,0.50614935,0.090579717,0.20185885,0.045498313,0.0099496591,0.089745433
2.5,2,2.5,1.700566,0.6,1000,0.0019613239,0.0016631854,0.0022692395,0,0.012734535,0.0042799785,0.022346442,0,0.13861943,0.37370227,0.063208095,0.14563572,0.16504458,0.085301889,0.28338802
2.5,2,2.5,1.700566,0.6,5000,0.00040391188,0.00034447967,0.00046637275,0,0.0087425717,0.004564485,0.013162946,0,0.064393091,0.24421663,0.026241211,0.091720485,0.037930914,0.0073139619,0.080892197
2.5,2,2.5,1.700566,0.6,20000,0.00010652752,9.0343482e-05,0.00012291669,0,0.0054523275,0.0033158219,0.0078123067,0,0.031561009,0.16173021,0.013794578,0.058211275,0.026836617,0.0057441927,0.055240205
